ID,Poverty_Code,CRM_Segment,Company_Type,Direction_Meeting,Low_Seniority,High_Seniority,Employees,Income_Level,New_Client,Number_Meetings,First_Meeting,Last_Meeting,Travel_First_Meeting,Travel_Last_Meeting,Size_Indicator
LISTED-159,0,6,LISTED,0,2,12,1100,F,EXISTING,0,NA,NA,NA,NA,L
LISTED-161,0,6,LISTED,1,2,8,900,Q,EXISTING,1,08/30/10,08/30/10,266,266,L
LISTED-179,0,6,LISTED,1,1,8,238,Q,EXISTING,1,09/23/10,09/23/10,251,251,S
LISTED-189,0,11,LISTED,1,2,8,175,L,NEW,1,09/21/10,09/21/10,188,188,S
LISTED-205,0,6,LISTED,1,2,12,650,M,EXISTING,1,09/23/10,09/23/10,249,249,M-L
LISTED-245,0,12,LISTED,0,1,12,180,H,EXISTING,0,NA,NA,NA,NA,S
LISTED-268,0,6,LISTED,1,2,12,1052,P,NEW,1,09/03/10,09/03/10,248,248,L
LISTED-283,0,6,LISTED,0,2,8,378,Q,NEW,0,NA,NA,NA,NA,S-M
LISTED-285,0,12,LISTED,1,2,8,105,P,NEW,1,09/28/10,09/28/10,192,192,S
LISTED-314,0,6,LISTED,0,6,12,480,Q,NEW,0,NA,NA,NA,NA,S-M
LISTED-326,0,11,LISTED,0,2,12,830,Q,NEW,0,NA,NA,NA,NA,L
LISTED-335,0,3,LISTED,1,2,12,428,I,EXISTING,1,09/28/10,09/28/10,172,172,S-M
LISTED-354,0,6,LISTED,1,6,12,372,Q,NEW,1,09/30/10,09/30/10,158,158,S-M
LISTED-367,0,11,LISTED,1,2,8,150,Z,EXISTING,1,08/19/10,08/19/10,269,269,S
LISTED-387,0,6,LISTED,1,7,12,700,J,EXISTING,1,09/10/10,09/10/10,240,240,M-L
LISTED-407,0,6,LISTED,1,1,7,365,P,NEW,1,09/28/10,09/28/10,224,224,S-M
LISTED-412,0,8,LISTED,0,6,12,999,I,EXISTING,0,NA,NA,NA,NA,L
LISTED-420,0,6,LISTED,1,2,8,350,Q,EXISTING,1,10/26/10,10/26/10,186,186,S-M
LISTED-421,0,5,LISTED,0,1,6,280,Q,NEW,0,NA,NA,NA,NA,S
LISTED-433,0,6,LISTED,1,2,8,233,Q,EXISTING,1,11/18/10,11/18/10,180,180,S
LISTED-436,0,12,LISTED,1,1,8,165,P,EXISTING,1,09/14/10,09/14/10,240,240,S
LISTED-468,0,6,LISTED,1,7,12,700,J,NEW,1,09/10/10,09/10/10,240,240,M-L
LISTED-473,0,11,LISTED,1,6,8,50,Q,NEW,1,10/05/10,10/05/10,210,210,S
LISTED-482,0,2,LISTED,0,8,12,60,M,NEW,0,NA,NA,NA,NA,S
LISTED-503,0,6,LISTED,1,6,12,372,Q,EXISTING,1,09/30/10,09/30/10,158,158,S-M
LISTED-513,0,6,LISTED,0,2,8,225,Z,NEW,0,NA,NA,NA,NA,S
LISTED-524,0,5,LISTED,0,1,6,280,Q,EXISTING,0,NA,NA,NA,NA,S
LISTED-602,0,6,LISTED,0,2,12,850,L,NEW,0,NA,NA,NA,NA,L
LISTED-619,0,5,LISTED,0,2,8,300,Q,EXISTING,0,NA,NA,NA,NA,S
LISTED-622,0,5,LISTED,0,1,6,213,J,NEW,0,NA,NA,NA,NA,S
LISTED-659,0,6,LISTED,1,6,8,155,Q,NEW,1,09/15/10,09/15/10,194,194,S
LISTED-674,0,5,LISTED,1,1,6,283,M,NEW,1,09/03/10,09/03/10,234,234,S
LISTED-686,0,4,LISTED,0,1,8,400,Q,EXISTING,0,NA,NA,NA,NA,S-M
LISTED-702,0,8,LISTED,0,2,12,1100,F,NEW,0,NA,NA,NA,NA,L
LISTED-704,0,11,LISTED,0,2,8,180,F,EXISTING,0,NA,NA,NA,NA,S
LISTED-766,0,6,LISTED,1,2,8,378,Q,NEW,1,09/01/10,09/01/10,259,259,S-M
LISTED-776,0,11,LISTED,1,1,12,532,L,NEW,1,10/04/10,10/04/10,211,211,S-M
LISTED-805,0,11,LISTED,1,2,9,380,Q,NEW,1,10/16/10,10/16/10,182,182,S-M
LISTED-806,0,11,LISTED,1,2,12,635,K,NEW,1,09/03/10,09/03/10,255,255,M-L
LISTED-842,0,8,LISTED,1,2,12,1020,L,EXISTING,1,02/16/11,02/16/11,28,28,L
LISTED-859,0,11,LISTED,1,2,8,163,Q,EXISTING,1,10/06/10,10/06/10,235,235,S
LISTED-892,0,6,LISTED,1,1,8,380,P,NEW,1,09/02/10,09/02/10,241,241,S-M
LISTED-916,0,6,LISTED,0,1,12,570,D,NEW,0,NA,NA,NA,NA,S-M
LISTED-933,0,4,LISTED,0,1,8,400,Q,EXISTING,0,NA,NA,NA,NA,S-M
LISTED-945,0,11,LISTED,1,2,8,175,L,EXISTING,1,09/21/10,09/21/10,188,188,S
LISTED-950,0,11,LISTED,0,2,8,180,F,EXISTING,0,NA,NA,NA,NA,S
LISTED-970,0,4,LISTED,1,1,12,180,N,EXISTING,2,05/04/10,09/30/10,356,207,S
LISTED-1021,0,3,LISTED,1,2,8,353,E,EXISTING,1,09/02/10,09/02/10,243,243,S-M
LISTED-1023,0,8,LISTED,0,2,12,787,P,EXISTING,0,NA,NA,NA,NA,M-L
LISTED-1042,0,3,LISTED,1,2,12,428,I,NEW,1,09/28/10,09/28/10,172,172,S-M
LISTED-1065,0,5,LISTED,1,2,6,85,Q,EXISTING,1,10/12/10,10/12/10,206,206,S
LISTED-1093,0,6,LISTED,1,4,12,410,Q,EXISTING,1,09/28/10,09/28/10,183,183,S-M
LISTED-1104,0,2,LISTED,1,2,8,110,O,NEW,2,11/26/10,11/28/10,184,182,S
LISTED-1107,0,6,LISTED,0,2,12,1100,F,EXISTING,0,NA,NA,NA,NA,L
LISTED-1176,0,6,LISTED,1,2,8,320,P,EXISTING,1,10/06/10,10/06/10,215,215,S
LISTED-1186,0,6,LISTED,1,1,12,745,Q,NEW,1,09/29/10,09/29/10,171,171,M-L
LISTED-1189,0,6,LISTED,1,6,8,442,M,NEW,2,09/28/10,10/18/10,219,199,S-M
LISTED-1214,0,6,LISTED,1,2,8,470,M,NEW,1,09/13/10,09/13/10,261,261,S-M
LISTED-1229,0,6,LISTED,0,2,8,236,M,NEW,0,NA,NA,NA,NA,S
LISTED-1234,0,11,LISTED,1,6,12,105,P,EXISTING,1,08/27/10,08/27/10,234,234,S
LISTED-1246,0,6,LISTED,1,2,12,1300,P,EXISTING,1,09/22/10,09/22/10,148,148,L
LISTED-1248,0,8,LISTED,1,0,NA,240,O,EXISTING,1,09/14/10,09/14/10,195,195,S
LISTED-1256,0,6,LISTED,0,1,8,220,P,NEW,0,NA,NA,NA,NA,S
LISTED-1258,0,8,LISTED,0,2,12,787,P,NEW,0,NA,NA,NA,NA,M-L
LISTED-1269,0,6,LISTED,1,6,8,336,J,NEW,1,09/27/10,09/27/10,174,174,S
LISTED-1273,0,5,LISTED,1,2,6,52,I,NEW,1,10/19/10,10/19/10,152,152,S
LISTED-1279,0,5,LISTED,1,1,8,450,K,EXISTING,1,09/15/10,09/15/10,225,225,S-M
LISTED-1287,0,2,LISTED,1,1,8,211,O,EXISTING,1,08/19/10,08/19/10,233,233,S
LISTED-1376,0,11,LISTED,1,2,8,200,M,EXISTING,1,09/29/10,09/29/10,231,231,S
LISTED-1396,0,11,LISTED,1,6,12,105,P,EXISTING,1,08/27/10,08/27/10,234,234,S
LISTED-1434,0,10,LISTED,1,2,8,105,P,EXISTING,1,09/29/10,09/29/10,209,209,S
LISTED-1450,0,6,LISTED,1,6,8,442,M,EXISTING,2,09/28/10,10/18/10,219,199,S-M
LISTED-1454,0,6,LISTED,1,2,8,320,Q,EXISTING,1,09/23/10,09/23/10,183,183,S
LISTED-1472,0,3,LISTED,1,2,8,245,A,NEW,1,09/30/10,09/30/10,166,166,S
LISTED-1486,0,6,LISTED,1,2,8,500,Q,EXISTING,1,11/01/10,11/01/10,164,164,S-M
LISTED-1490,0,5,LISTED,1,1,6,280,Q,EXISTING,1,09/28/10,09/28/10,235,235,S
LISTED-1491,0,5,LISTED,0,2,6,350,P,NEW,0,NA,NA,NA,NA,S-M
LISTED-1496,0,5,LISTED,1,2,6,280,Q,NEW,1,11/01/10,11/01/10,191,191,S
LISTED-1503,0,6,LISTED,0,6,12,414,Q,EXISTING,0,NA,NA,NA,NA,S-M
LISTED-1521,0,5,LISTED,0,1,6,280,Q,EXISTING,0,NA,NA,NA,NA,S
LISTED-1532,0,6,LISTED,1,1,8,350,O,NEW,1,09/21/10,09/21/10,258,258,S-M
LISTED-1546,0,8,LISTED,0,2,12,1100,F,NEW,0,NA,NA,NA,NA,L
LISTED-1553,0,6,LISTED,1,2,12,650,M,EXISTING,1,09/23/10,09/23/10,249,249,M-L
LISTED-1567,0,5,LISTED,1,1,8,450,K,NEW,1,09/15/10,09/15/10,225,225,S-M
LISTED-1573,0,6,LISTED,1,1,12,1500,L,NEW,1,09/07/10,09/07/10,193,193,L
LISTED-1587,0,6,LISTED,1,2,12,957,Z,EXISTING,1,10/22/10,10/22/10,139,139,L
LISTED-1626,0,6,LISTED,1,1,8,562,P,NEW,2,09/30/10,01/13/11,143,38,S-M
LISTED-1645,0,6,LISTED,0,1,8,375,Q,EXISTING,0,NA,NA,NA,NA,S-M
LISTED-1649,0,12,LISTED,0,6,8,155,Q,EXISTING,0,NA,NA,NA,NA,S
LISTED-1690,0,6,LISTED,0,6,12,400,M,NEW,0,NA,NA,NA,NA,S-M
LISTED-1702,0,6,LISTED,0,2,8,360,P,NEW,0,NA,NA,NA,NA,S-M
LISTED-1736,0,6,LISTED,1,2,8,310,P,NEW,1,09/09/10,09/09/10,242,242,S
LISTED-1739,0,6,LISTED,0,1,12,402,J,NEW,0,NA,NA,NA,NA,S-M
LISTED-1750,0,5,LISTED,0,1,6,105,M,EXISTING,0,NA,NA,NA,NA,S
LISTED-1752,0,6,LISTED,1,1,12,382,L,EXISTING,1,09/15/10,09/15/10,271,271,S-M
LISTED-1764,0,6,LISTED,0,2,12,1100,F,NEW,0,NA,NA,NA,NA,L
LISTED-1799,0,6,LISTED,1,2,8,350,Q,NEW,1,09/09/10,09/09/10,249,249,S-M
LISTED-1803,0,6,LISTED,1,1,8,575,F,NEW,1,09/01/10,09/01/10,239,239,S-M
LISTED-1820,0,5,LISTED,0,1,2,138,Q,NEW,0,NA,NA,NA,NA,S
LISTED-1826,0,2,LISTED,1,1,8,155,L,NEW,1,09/28/10,09/28/10,187,187,S
LISTED-1847,0,8,LISTED,0,1,12,570,D,EXISTING,0,NA,NA,NA,NA,S-M
LISTED-1859,0,6,LISTED,1,2,8,350,Q,NEW,1,10/26/10,10/26/10,186,186,S-M
LISTED-1892,0,8,LISTED,1,0,NA,180,P,NEW,1,09/23/10,09/23/10,229,229,S
LISTED-1913,0,11,LISTED,1,5,8,100,O,NEW,1,09/15/10,09/15/10,194,194,S
LISTED-1929,0,11,LISTED,0,1,8,180,Z,EXISTING,0,NA,NA,NA,NA,S
LISTED-1962,0,6,LISTED,1,7,12,700,J,EXISTING,1,10/05/10,10/05/10,215,215,M-L
LISTED-1971,0,6,LISTED,0,1,8,375,Q,EXISTING,0,NA,NA,NA,NA,S-M
LISTED-1975,0,11,LISTED,0,1,8,165,P,EXISTING,0,NA,NA,NA,NA,S
LISTED-1999,0,11,LISTED,0,7,12,540,L,EXISTING,0,NA,NA,NA,NA,S-M
LISTED-2009,0,6,LISTED,0,2,8,250,Q,EXISTING,0,NA,NA,NA,NA,S
LISTED-2032,0,4,LISTED,0,1,12,19,L,NEW,0,NA,NA,NA,NA,S
LISTED-2045,0,5,LISTED,0,2,8,340,P,NEW,0,NA,NA,NA,NA,S-M
LISTED-2046,0,2,LISTED,1,1,8,75,M,NEW,1,09/21/10,09/21/10,208,208,S
LISTED-2058,0,6,LISTED,0,1,12,535,L,EXISTING,0,NA,NA,NA,NA,S-M
LISTED-2060,0,2,LISTED,1,2,8,110,O,NEW,2,11/26/10,11/28/10,184,182,S
LISTED-2067,0,6,LISTED,0,2,12,1100,F,EXISTING,0,NA,NA,NA,NA,L
LISTED-2099,0,6,LISTED,1,1,8,238,Q,NEW,1,09/23/10,09/23/10,251,251,S
LISTED-2101,0,12,LISTED,1,1,8,165,P,EXISTING,1,09/14/10,09/14/10,240,240,S
LISTED-2112,0,11,LISTED,1,2,8,163,Q,EXISTING,1,10/06/10,10/06/10,235,235,S
LISTED-2123,0,6,LISTED,0,1,12,402,J,NEW,0,NA,NA,NA,NA,S-M
LISTED-2128,0,6,LISTED,1,1,8,428,O,NEW,2,05/27/10,09/14/10,312,202,S-M
LISTED-2167,0,12,LISTED,0,6,8,155,Q,NEW,0,NA,NA,NA,NA,S
LISTED-2184,0,5,LISTED,0,2,7,225,Q,NEW,0,NA,NA,NA,NA,S
LISTED-2217,0,11,LISTED,1,1,12,175,M,NEW,1,10/12/10,10/12/10,187,187,S
LISTED-2236,0,2,LISTED,0,1,8,120,O,NEW,0,NA,NA,NA,NA,S
LISTED-2282,0,4,LISTED,1,1,12,180,N,EXISTING,2,05/04/10,09/30/10,356,207,S
LISTED-2285,0,6,LISTED,1,1,8,400,Q,EXISTING,1,09/21/10,09/21/10,200,200,S-M
LISTED-2298,0,6,LISTED,0,2,8,236,M,NEW,0,NA,NA,NA,NA,S
LISTED-2315,0,2,LISTED,1,1,8,155,L,NEW,1,09/28/10,09/28/10,187,187,S
LISTED-2322,0,11,LISTED,1,2,8,200,M,EXISTING,1,09/29/10,09/29/10,231,231,S
LISTED-2408,0,11,LISTED,1,2,8,235,M,EXISTING,1,09/14/10,09/14/10,215,215,S
LISTED-2435,0,5,LISTED,1,2,6,325,P,NEW,1,08/31/10,08/31/10,274,274,S
LISTED-2438,0,6,LISTED,0,1,12,570,D,NEW,0,NA,NA,NA,NA,S-M
LISTED-2461,0,6,LISTED,1,7,12,700,J,NEW,1,10/05/10,10/05/10,215,215,M-L
LISTED-2477,0,11,LISTED,1,2,12,752,M,EXISTING,1,09/08/10,09/08/10,193,193,M-L
LISTED-2482,0,11,LISTED,1,1,12,780,G,NEW,1,08/24/10,08/24/10,199,199,M-L
LISTED-2483,0,6,LISTED,1,2,12,1000,P,NEW,1,08/26/10,08/26/10,246,246,L
LISTED-2487,0,6,LISTED,1,2,12,812,I,NEW,2,05/11/10,08/26/10,374,267,L
LISTED-2514,0,12,LISTED,0,1,12,180,H,NEW,0,NA,NA,NA,NA,S
LISTED-2525,0,11,LISTED,0,1,8,192,L,NEW,0,NA,NA,NA,NA,S
LISTED-2530,0,2,LISTED,0,1,12,90,Q,EXISTING,0,NA,NA,NA,NA,S
LISTED-2531,0,6,LISTED,0,1,8,220,P,NEW,0,NA,NA,NA,NA,S
LISTED-2533,0,5,LISTED,1,2,8,500,D,EXISTING,1,09/22/10,09/22/10,194,194,S-M
LISTED-2539,0,11,LISTED,1,1,12,407,C,EXISTING,1,06/01/10,06/01/10,286,286,S-M
LISTED-2545,0,6,LISTED,1,2,12,812,I,NEW,2,05/11/10,08/26/10,374,267,L
LISTED-2549,0,5,LISTED,0,1,6,105,M,EXISTING,0,NA,NA,NA,NA,S
LISTED-2595,0,6,LISTED,0,6,12,400,M,NEW,0,NA,NA,NA,NA,S-M
LISTED-2603,0,6,LISTED,1,2,8,350,Q,NEW,1,09/09/10,09/09/10,249,249,S-M
LISTED-2619,0,11,LISTED,1,1,8,900,Q,NEW,1,08/20/10,08/20/10,291,291,L
LISTED-2625,0,2,LISTED,0,8,12,60,M,NEW,0,NA,NA,NA,NA,S
LISTED-2642,0,11,LISTED,1,1,8,900,Q,EXISTING,1,08/20/10,08/20/10,291,291,L
LISTED-2657,0,8,LISTED,1,0,NA,180,P,NEW,1,09/23/10,09/23/10,229,229,S
LISTED-2660,0,6,LISTED,0,2,8,250,Q,NEW,0,NA,NA,NA,NA,S
LISTED-2664,0,3,LISTED,0,2,9,310,P,NEW,0,NA,NA,NA,NA,S
LISTED-2754,0,11,LISTED,1,1,12,407,C,NEW,1,06/01/10,06/01/10,286,286,S-M
LISTED-2762,0,11,LISTED,0,1,8,192,L,EXISTING,0,NA,NA,NA,NA,S
LISTED-2765,0,5,LISTED,1,1,6,283,M,NEW,1,09/03/10,09/03/10,234,234,S
LISTED-2781,0,6,LISTED,1,1,8,420,I,EXISTING,1,09/07/10,09/07/10,247,247,S-M
LISTED-2783,0,6,LISTED,1,2,12,1023,Z,NEW,1,09/20/10,09/20/10,163,163,L
LISTED-2785,0,11,LISTED,1,2,8,235,M,EXISTING,1,09/14/10,09/14/10,215,215,S
LISTED-2790,0,5,LISTED,1,2,6,280,Q,NEW,1,09/16/10,09/16/10,227,227,S
LISTED-2795,0,11,LISTED,1,2,12,1555,Z,NEW,1,09/03/10,09/03/10,181,181,L
LISTED-2808,0,2,LISTED,0,2,8,130,P,EXISTING,0,NA,NA,NA,NA,S
LISTED-2857,0,6,LISTED,1,1,12,1500,L,EXISTING,1,09/07/10,09/07/10,193,193,L
LISTED-2874,0,5,LISTED,0,2,5,150,Q,NEW,0,NA,NA,NA,NA,S
LISTED-2901,0,11,LISTED,1,2,12,275,O,NEW,1,09/09/10,09/09/10,242,242,S
LISTED-2924,0,11,LISTED,1,6,8,50,Q,NEW,1,10/05/10,10/05/10,210,210,S
LISTED-2937,0,3,LISTED,1,2,8,245,A,NEW,1,09/30/10,09/30/10,166,166,S
LISTED-2960,0,6,LISTED,0,1,12,3700,L,EXISTING,0,NA,NA,NA,NA,L
LISTED-3032,0,5,LISTED,1,2,6,325,P,NEW,1,08/31/10,08/31/10,274,274,S
LISTED-3039,0,5,LISTED,1,2,6,280,Q,EXISTING,1,09/16/10,09/16/10,227,227,S
LISTED-3058,0,11,LISTED,1,2,12,275,O,NEW,1,09/09/10,09/09/10,242,242,S
LISTED-3064,0,6,LISTED,1,1,8,575,F,EXISTING,2,04/27/10,09/13/10,386,247,S-M
LISTED-3095,0,6,LISTED,0,2,8,225,Z,NEW,0,NA,NA,NA,NA,S
LISTED-3103,0,3,LISTED,1,2,8,309,C,EXISTING,1,09/16/10,09/16/10,222,222,S
LISTED-3113,0,6,LISTED,1,2,8,314,M,NEW,2,02/20/10,09/14/10,451,245,S
LISTED-3124,0,5,LISTED,1,1,6,331,Q,NEW,1,09/16/10,09/16/10,266,266,S
LISTED-3144,0,2,LISTED,1,2,8,143,G,NEW,1,08/10/10,08/10/10,239,239,S
LISTED-3147,0,2,LISTED,1,2,8,109,O,NEW,1,09/07/10,09/07/10,251,251,S
LISTED-3174,0,6,LISTED,0,1,12,3700,L,NEW,0,NA,NA,NA,NA,L
LISTED-3202,0,5,LISTED,0,1,6,280,Q,NEW,0,NA,NA,NA,NA,S
LISTED-3213,0,6,LISTED,0,1,12,535,L,EXISTING,0,NA,NA,NA,NA,S-M
LISTED-3236,0,5,LISTED,0,2,6,350,P,EXISTING,0,NA,NA,NA,NA,S-M
LISTED-3260,0,2,LISTED,0,1,8,120,O,EXISTING,0,NA,NA,NA,NA,S
LISTED-3264,0,6,LISTED,0,6,12,414,Q,NEW,0,NA,NA,NA,NA,S-M
LISTED-3265,0,2,LISTED,1,2,8,109,O,NEW,1,09/07/10,09/07/10,251,251,S
LISTED-3267,0,6,LISTED,1,6,8,336,J,EXISTING,1,09/27/10,09/27/10,174,174,S
LISTED-3285,0,6,LISTED,1,1,8,575,F,NEW,1,09/01/10,09/01/10,239,239,S-M
LISTED-3328,0,6,LISTED,1,2,12,723,M,EXISTING,1,09/09/10,09/09/10,242,242,M-L
LISTED-3334,0,6,LISTED,1,2,8,650,Q,NEW,1,09/23/10,09/23/10,231,231,M-L
LISTED-3336,0,11,LISTED,0,7,12,540,L,EXISTING,0,NA,NA,NA,NA,S-M
LISTED-3355,0,6,LISTED,1,2,8,500,Q,NEW,1,11/01/10,11/01/10,164,164,S-M
LISTED-3383,0,5,LISTED,0,1,6,213,J,EXISTING,0,NA,NA,NA,NA,S
LISTED-3387,0,11,LISTED,1,1,12,780,G,NEW,1,08/24/10,08/24/10,199,199,M-L
LISTED-3412,0,11,LISTED,0,1,8,165,P,NEW,0,NA,NA,NA,NA,S
LISTED-3414,0,11,LISTED,0,2,12,830,Q,NEW,0,NA,NA,NA,NA,L
LISTED-3440,0,9,LISTED,0,7,12,530,C,NEW,0,NA,NA,NA,NA,S-M
LISTED-3441,0,5,LISTED,1,2,5,160,E,EXISTING,1,10/07/10,10/07/10,165,165,S
LISTED-3457,0,6,LISTED,1,2,8,635,K,NEW,1,09/14/10,09/14/10,146,146,M-L
LISTED-3497,0,6,LISTED,1,2,8,620,P,NEW,1,09/29/10,09/29/10,201,201,M-L
LISTED-3505,0,11,LISTED,1,2,8,150,G,NEW,2,03/18/10,10/05/10,369,168,S
LISTED-3531,0,5,LISTED,0,2,8,340,P,EXISTING,0,NA,NA,NA,NA,S-M
LISTED-3535,0,3,LISTED,1,2,8,309,C,EXISTING,1,09/16/10,09/16/10,222,222,S
LISTED-3565,0,6,LISTED,1,1,7,365,P,EXISTING,1,09/28/10,09/28/10,224,224,S-M
LISTED-3589,0,6,LISTED,1,1,8,255,O,EXISTING,1,09/23/10,09/23/10,242,242,S
LISTED-3595,0,11,LISTED,1,5,8,100,O,NEW,1,09/15/10,09/15/10,194,194,S
LISTED-3607,0,6,LISTED,1,2,8,378,Q,EXISTING,1,09/01/10,09/01/10,259,259,S-M
LISTED-3611,0,11,LISTED,1,2,12,635,K,NEW,1,09/03/10,09/03/10,255,255,M-L
LISTED-3614,0,8,LISTED,1,2,12,812,I,EXISTING,1,08/26/10,08/26/10,279,279,L
LISTED-3633,0,6,LISTED,1,2,12,1300,P,NEW,1,09/22/10,09/22/10,148,148,L
LISTED-3650,0,5,LISTED,1,2,6,280,Q,NEW,1,11/01/10,11/01/10,191,191,S
LISTED-3670,0,5,LISTED,0,2,7,225,Q,EXISTING,0,NA,NA,NA,NA,S
LISTED-3681,0,6,LISTED,1,2,8,314,M,EXISTING,2,02/20/10,09/14/10,451,245,S
LISTED-3690,0,3,LISTED,1,2,8,353,E,EXISTING,1,09/02/10,09/02/10,243,243,S-M
LISTED-3715,0,11,LISTED,1,2,12,752,M,NEW,1,09/08/10,09/08/10,193,193,M-L
LISTED-3717,0,6,LISTED,1,2,12,957,Z,NEW,1,10/22/10,10/22/10,139,139,L
LISTED-3732,0,6,LISTED,1,1,12,382,L,EXISTING,1,09/15/10,09/15/10,271,271,S-M
LISTED-3751,0,6,LISTED,1,1,8,380,P,EXISTING,1,09/02/10,09/02/10,241,241,S-M
LISTED-3756,0,8,LISTED,1,0,NA,111,I,EXISTING,1,09/13/10,09/13/10,252,252,S
LISTED-3766,0,9,LISTED,0,7,12,530,C,NEW,0,NA,NA,NA,NA,S-M
LISTED-3788,0,3,LISTED,0,2,9,310,P,NEW,0,NA,NA,NA,NA,S
LISTED-3812,0,6,LISTED,1,2,8,320,P,NEW,1,10/06/10,10/06/10,215,215,S
LISTED-3837,0,6,LISTED,1,2,12,1023,Z,EXISTING,1,09/20/10,09/20/10,163,163,L
LISTED-3839,0,6,LISTED,1,2,8,320,Q,EXISTING,1,09/16/10,09/16/10,252,252,S
LISTED-3872,0,2,LISTED,1,1,8,75,M,EXISTING,1,09/21/10,09/21/10,208,208,S
LISTED-3891,0,2,LISTED,0,1,12,90,Q,NEW,0,NA,NA,NA,NA,S
LISTED-3922,0,5,LISTED,1,2,6,52,I,NEW,1,10/19/10,10/19/10,152,152,S
LISTED-3924,0,2,LISTED,1,1,8,211,O,EXISTING,1,08/19/10,08/19/10,233,233,S
LISTED-3932,0,6,LISTED,1,2,8,320,Q,EXISTING,1,09/23/10,09/23/10,183,183,S
LISTED-3945,0,11,LISTED,1,2,9,380,Q,EXISTING,1,10/16/10,10/16/10,182,182,S-M
LISTED-3958,0,5,LISTED,0,1,2,138,Q,NEW,0,NA,NA,NA,NA,S
LISTED-3960,0,6,LISTED,0,2,8,378,Q,NEW,0,NA,NA,NA,NA,S-M
LISTED-4001,0,6,LISTED,1,2,8,620,P,NEW,1,09/29/10,09/29/10,201,201,M-L
LISTED-4014,0,10,LISTED,1,2,8,105,P,NEW,1,09/29/10,09/29/10,209,209,S
LISTED-4016,0,6,LISTED,1,1,8,255,O,EXISTING,1,09/23/10,09/23/10,242,242,S
LISTED-4022,0,5,LISTED,0,2,6,230,O,NEW,0,NA,NA,NA,NA,S
LISTED-4029,0,6,LISTED,0,2,12,850,L,NEW,0,NA,NA,NA,NA,L
LISTED-4056,0,11,LISTED,0,2,8,300,J,NEW,0,NA,NA,NA,NA,S
LISTED-4059,0,6,LISTED,1,2,12,723,M,NEW,1,09/09/10,09/09/10,242,242,M-L
LISTED-4061,0,6,LISTED,1,2,8,233,Q,EXISTING,1,11/18/10,11/18/10,180,180,S
LISTED-4089,0,6,LISTED,1,1,12,745,Q,EXISTING,1,09/29/10,09/29/10,171,171,M-L
LISTED-4094,0,6,LISTED,1,1,8,350,O,NEW,1,09/21/10,09/21/10,258,258,S-M
LISTED-4105,0,4,LISTED,0,1,12,19,L,EXISTING,0,NA,NA,NA,NA,S
LISTED-4124,0,5,LISTED,1,1,6,331,Q,NEW,1,09/16/10,09/16/10,266,266,S
LISTED-4148,0,8,LISTED,0,2,12,1100,F,EXISTING,0,NA,NA,NA,NA,L
LISTED-4150,0,6,LISTED,0,2,8,320,Q,NEW,0,NA,NA,NA,NA,S
LISTED-4155,0,6,LISTED,1,4,12,410,Q,NEW,1,09/28/10,09/28/10,183,183,S-M
LISTED-4167,0,2,LISTED,1,2,8,143,G,NEW,1,08/10/10,08/10/10,239,239,S
LISTED-4179,0,6,LISTED,1,2,12,1052,P,EXISTING,1,09/03/10,09/03/10,248,248,L
