ID,Program_Code,Min_Seniority,Max_Seniority,Origin_State,Days,Travel_Type,Departure_Date,Return_Date,Participant,Total_Participants,First_Communicarion,Last_Communicarion,Cancelled,Discounted,Initial_Date,Region,Company_Sponsor,Product_Type,Type_Low_Seniority,Type_High_Seniority,Type_Seniority,Departure_Month,Type_Low,Type_High,Type,Code_Aggregation,Same_Type_Flag,Enrollment,Participant_Ratio,Participant_Difference,Retained
HS-693-40672,HS,3,4,CA,2,A,05/09/11,05/10/11,19,21,,08/25/10,4,2,09/09/09,Southern California,1,CA History,<5,<5,,May,1,1,1-1,H,1,0.109090909,0.9,2,0
HC-1310-40672,HC,8,8,CA,8,A,05/09/11,05/16/11,165,175,01/20/10,01/20/10,7,11,09/09/09,Southern California,1,East Coast,5-8,5-8,5-8-5-8,May,<5,<5,<5-<5,H,1,0.358695652,0.942857143,10,1
HS-1458-40699,HS,4,7,CA,2,A,06/05/11,06/06/11,17,20,04/24/10,08/24/10,7,3,09/09/09,Southern California,1,CA History,<5,5-8,<5-5-8,June,2,2,2-2,H,1,0.028725314,0.842105263,3,1
HS-2090-40672,HS,4,5,CA,2,A,05/09/11,05/10/11,19,21,,08/24/10,2,1,09/09/09,Southern California,1,CA History,<5,<5,<5-<5,May,1,1,1-1,H,1,0.109090909,0.9,2,0
HD-2318-40648,HD,5,7,WA,6,A,04/15/11,04/20/11,23,26,,11/06/09,1,2,09/09/09,Pacific Northwest,0,East Coast,5-8,5-8,,April,5-8,>8,5-8->8,H,0,0.077738516,0.88,3,0
HD-2568-40701,HD,8,9,TX,4,A,06/07/11,06/10/11,24,26,09/21/09,08/24/10,7,3,09/09/09,Houston,0,East Coast,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,H,1,0.086021505,0.923076923,2,0
HD-2586-40684,HD,7,8,NE,3,A,05/21/11,05/23/11,15,16,,10/22/09,1,2,09/09/09,Other,0,East Coast,5-8,5-8,5-8-5-8,May,2,2,2-2,H,1,0.046153846,0.9375,1,0
HD-2968-40648,HD,6,8,WA,6,A,04/15/11,04/20/11,21,24,,11/03/09,3,4,09/09/09,Pacific Northwest,0,East Coast,5-8,5-8,,April,5-8,>8,5-8->8,H,0,0.077738516,0.88,3,0
HC-3301-40672,HC,8,8,CA,8,A,05/09/11,05/16/11,157,167,01/19/10,01/19/10,4,9,09/09/09,Southern California,1,East Coast,5-8,5-8,5-8-5-8,May,<5,<5,<5-<5,H,1,0.358695652,0.942857143,10,1
HD-3741-40701,HD,7,8,TX,4,A,06/07/11,06/10/11,25,27,09/23/09,08/26/10,6,3,09/09/09,Houston,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.086021505,0.923076923,2,0
HS-4082-40699,HS,5,8,CA,2,A,06/05/11,06/06/11,16,19,04/28/10,08/28/10,6,2,09/09/09,Southern California,1,CA History,<5,5-8,,June,2,5-8,2-5-8,H,0,0.028725314,0.842105263,3,1
HD-4134-40700,HD,7,8,MO,4,A,06/06/11,06/09/11,46,57,01/25/10,08/01/10,3,11,09/09/09,Other,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.053038674,0.813559322,11,0
HD-2847-40646,HD,6,7,ME,4,A,04/13/11,04/16/11,35,39,,09/10/09,2,5,09/10/09,Other,0,East Coast,5-8,5-8,5-8-5-8,April,5-8,5-8,5-8-5-8,H,1,0.108196721,0.891891892,4,0
HD-3191-40646,HD,6,7,ME,4,A,04/13/11,04/16/11,31,35,,09/05/09,2,4,09/10/09,Other,0,East Coast,5-8,5-8,,April,5-8,5-8,5-8-5-8,H,1,0.108196721,0.891891892,4,0
HC-889-40702,HC,9,10,WA,8,A,06/08/11,06/15/11,40,41,01/19/10,01/19/10,10,2,09/11/09,Pacific Northwest,0,East Coast,5-8,>8,,June,Undefined,Undefined,Undefined-Undefined,H,1,NA,0.976744186,1,0
HD-2925-40697,HD,6,7,NE,3,A,06/03/11,06/05/11,62,68,,10/27/09,37,7,09/11/09,Other,0,East Coast,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,H,1,0.170157068,0.915492958,6,0
HD-4130-40697,HD,7,8,NE,3,A,06/03/11,06/05/11,62,68,,10/30/09,32,7,09/11/09,Other,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.170157068,0.915492958,6,0
HC-4177-40702,HC,8,9,WA,8,A,06/08/11,06/15/11,42,43,01/21/10,01/21/10,13,0,09/11/09,Pacific Northwest,0,East Coast,5-8,>8,5-8->8,June,Undefined,Undefined,Undefined-Undefined,H,1,NA,0.976744186,1,0
HD-2692-40710,HD,6,9,WA,5,A,06/16/11,06/20/11,20,22,02/25/10,09/04/10,4,1,09/19/09,Pacific Northwest,0,East Coast,5-8,>8,5-8->8,June,5-8,5-8,5-8-5-8,H,1,0.057142857,0.909090909,2,0
HD-3472-40710,HD,5,8,WA,5,A,06/16/11,06/20/11,21,23,02/27/10,09/06/10,6,1,09/19/09,Pacific Northwest,0,East Coast,5-8,>8,5-8->8,June,5-8,5-8,5-8-5-8,H,1,0.057142857,0.909090909,2,0
HC-3195-40660,HC,7,7,CA,6,A,04/27/11,05/02/11,50,59,04/26/10,04/26/10,13,10,09/23/09,Southern California,0,East Coast,5-8,5-8,,April,5-8,5-8,5-8-5-8,H,1,0.05748503,0.842105263,9,1
HD-1254-40685,HD,10,12,NE,5,A,05/22/11,05/26/11,13,15,03/18/10,08/27/10,6,1,09/24/09,Other,0,East Coast,>8,>8,,May,5-8,5-8,5-8-5-8,H,1,0.12173913,0.875,2,0
HD-2931-40654,HD,8,8,CA,6,A,04/21/11,04/26/11,18,20,02/03/10,08/15/10,3,3,09/30/09,Southern California,0,East Coast,5-8,5-8,,April,1,1,1-1,H,1,NA,0.904761905,2,0
HD-3146-40654,HD,9,9,CA,6,A,04/21/11,04/26/11,18,20,02/06/10,08/18/10,2,3,09/30/09,Southern California,0,East Coast,5-8,5-8,,April,1,5-8,1-5-8,H,0,NA,0.904761905,2,0
HD-414-40706,HD,8,8,WI,3,A,06/12/11,06/14/11,17,19,01/28/10,08/19/10,5,2,10/01/09,Other,0,East Coast,5-8,5-8,5-8-5-8,June,<5,<5,<5-<5,H,1,0.053333333,0.888888889,2,0
HD-1069-40706,HD,8,8,WI,3,A,06/12/11,06/14/11,17,19,02/06/10,08/28/10,4,2,10/01/09,Other,0,East Coast,5-8,5-8,,June,<5,5-8,<5-5-8,H,0,0.053333333,0.888888889,2,0
HC-2243-40684,HC,,,NE,5,A,05/21/11,05/25/11,24,26,,10/10/09,3,3,10/01/09,Other,0,East Coast,Undefined,Undefined,,May,<5,5-8,<5-5-8,H,0,0.18852459,0.92,2,0
HC-3998-40684,HC,,,NE,5,A,05/21/11,05/25/11,22,24,,10/12/09,4,1,10/01/09,Other,0,East Coast,Undefined,Undefined,,May,<5,5-8,<5-5-8,H,0,0.18852459,0.92,2,0
HC-523-40554,HC,7,7,AZ,8,A,01/11/11,01/18/11,22,25,10/15/09,08/05/10,12,4,10/02/09,Other,0,East Coast,5-8,5-8,,January,5-8,5-8,5-8-5-8,H,1,0.025882353,0.88,3,1
HC-616-40554,HC,8,8,AZ,8,A,01/11/11,01/18/11,22,25,10/20/09,08/10/10,13,2,10/02/09,Other,0,East Coast,5-8,5-8,,January,5-8,5-8,5-8-5-8,H,1,0.025882353,0.88,3,1
HD-2366-40689,HD,5,7,NE,5,A,05/26/11,05/30/11,31,33,10/08/09,10/08/09,2,3,10/02/09,Other,0,East Coast,5-8,5-8,5-8-5-8,May,2,2,2-2,H,1,0.144186047,0.939393939,2,0
HD-2412-40689,HD,5,7,NE,5,A,05/26/11,05/30/11,33,35,10/11/09,10/11/09,1,3,10/02/09,Other,0,East Coast,5-8,5-8,,May,2,2,2-2,H,1,0.144186047,0.939393939,2,0
HD-3631-40648,HD,8,8,MI,5,T,04/15/11,04/19/11,57,62,10/06/09,08/25/10,8,4,10/03/09,Other,0,East Coast,5-8,5-8,,April,5-8,5-8,5-8-5-8,H,1,0.220408163,0.915254237,5,0
CD-481-40674,CD,7,8,CA,7,A,05/11/11,05/17/11,7,8,10/05/09,08/23/10,6,0,10/07/09,Southern California,1,East Coast,5-8,5-8,5-8-5-8,May,2,2,2-2,C,1,0.058333333,0.875,1,0
CD-571-40674,CD,6,7,CA,7,A,05/11/11,05/17/11,7,8,10/06/09,08/24/10,4,0,10/07/09,Southern California,1,East Coast,5-8,5-8,5-8-5-8,May,2,2,2-2,C,1,0.058333333,0.875,1,0
HD-854-40710,HD,9,9,OR,5,A,06/16/11,06/20/11,22,24,10/09/09,09/02/10,2,3,10/07/09,Pacific Northwest,0,East Coast,5-8,5-8,,June,2,5-8,2-5-8,H,0,0.044088176,0.916666667,2,1
HD-4152-40710,HD,8,8,OR,5,A,06/16/11,06/20/11,23,25,10/09/09,09/02/10,1,1,10/07/09,Pacific Northwest,0,East Coast,5-8,5-8,,June,2,5-8,2-5-8,H,0,0.044088176,0.916666667,2,1
HD-141-40634,HD,8,8,WA,5,A,04/01/11,04/05/11,23,26,10/20/09,02/17/10,9,2,10/08/09,Pacific Northwest,0,East Coast,5-8,5-8,,April,5-8,5-8,5-8-5-8,H,1,0.03500761,0.884615385,3,0
HD-246-40634,HD,7,7,WA,5,A,04/01/11,04/05/11,22,25,10/21/09,02/18/10,6,3,10/08/09,Pacific Northwest,0,East Coast,5-8,5-8,,April,5-8,5-8,5-8-5-8,H,1,0.03500761,0.884615385,3,0
HF-47-40692,HF,6,7,TX,4,A,05/29/11,06/01/11,17,19,,09/03/10,10,3,10/09/09,Houston,0,CA History,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,H,1,0.113207547,0.9,2,1
HF-1358-40692,HF,8,9,TX,4,A,05/29/11,06/01/11,18,20,,08/26/10,10,1,10/09/09,Houston,0,CA History,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.113207547,0.9,2,1
HD-578-40645,HD,7,8,CA,6,A,04/12/11,04/17/11,13,14,10/19/09,10/19/09,1,1,10/17/09,Northern California,0,East Coast,5-8,5-8,5-8-5-8,April,2,2,2-2,H,1,0.388888889,0.933333333,1,0
HD-1783-40645,HD,6,7,CA,6,A,04/12/11,04/17/11,13,14,10/17/09,10/17/09,1,2,10/17/09,Northern California,0,East Coast,5-8,5-8,,April,2,2,2-2,H,1,0.388888889,0.933333333,1,0
HD-2193-40697,HD,6,8,TX,5,A,06/03/11,06/07/11,28,31,,10/17/09,6,3,10/17/09,Dallas,0,East Coast,5-8,5-8,,June,>8,>8,>8->8,H,1,0.051971326,0.90625,3,0
HD-2203-40705,HD,7,7,TX,5,A,06/11/11,06/15/11,11,12,03/07/10,09/15/10,12,0,10/17/09,Houston,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.020449898,0.909090909,1,0
HD-3140-40705,HD,7,7,TX,5,A,06/11/11,06/15/11,9,10,03/07/10,09/15/10,10,1,10/17/09,Houston,0,East Coast,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,H,1,0.020449898,0.909090909,1,0
HD-3591-40697,HD,6,8,TX,5,A,06/03/11,06/07/11,28,31,,10/20/09,5,3,10/17/09,Dallas,0,East Coast,5-8,5-8,,June,>8,>8,>8->8,H,1,0.051971326,0.90625,3,0
HD-438-40712,HD,9,9,CA,5,A,06/18/11,06/22/11,6,7,10/19/09,10/03/10,6,1,10/23/09,Southern California,1,East Coast,5-8,5-8,,June,1,1,1-1,H,1,0.070588235,0.857142857,1,0
HD-4154-40712,HD,7,7,CA,5,A,06/18/11,06/22/11,6,7,10/18/09,10/02/10,8,0,10/23/09,Southern California,1,East Coast,5-8,5-8,,June,1,5-8,1-5-8,H,0,0.070588235,0.857142857,1,0
HC-1822-40655,HC,7,8,CA,8,A,04/22/11,04/29/11,28,30,,08/15/10,3,2,10/30/09,Northern California,0,East Coast,5-8,5-8,,April,1,5-8,1-5-8,H,0,0.108,0.931034483,2,1
HD-1844-40711,HD,6,8,MI,5,T,06/17/11,06/21/11,58,62,02/27/10,08/30/10,1,5,10/30/09,Other,0,East Coast,5-8,>8,,June,5-8,5-8,5-8-5-8,H,1,0.5,0.93220339,4,0
HC-2628-40655,HC,6,7,CA,8,A,04/22/11,04/29/11,26,28,,08/20/10,4,1,10/30/09,Northern California,0,East Coast,5-8,5-8,,April,1,5-8,1-5-8,H,0,0.108,0.931034483,2,1
CD-1697-40630,CD,6,11,WA,4,A,03/28/11,03/31/11,11,12,01/25/10,08/19/10,4,1,10/31/09,Pacific Northwest,0,East Coast,5-8,>8,5-8->8,March,1,1,1-1,C,1,0.019230769,0.909090909,1,0
CC-2280-40612,CC,7,12,CA,6,A,03/10/11,03/15/11,31,35,11/01/09,11/01/09,17,4,10/31/09,Southern California,0,East Coast,5-8,>8,,March,1,>8,1->8,C,0,0.053448276,0.885714286,4,0
CC-3035-40612,CC,7,12,CA,6,A,03/10/11,03/15/11,29,33,10/26/09,10/26/09,17,4,10/31/09,Southern California,0,East Coast,5-8,>8,5-8->8,March,1,1,1-1,C,1,0.053448276,0.885714286,4,0
CD-3083-40630,CD,6,11,WA,4,A,03/28/11,03/31/11,10,11,01/28/10,08/22/10,2,2,10/31/09,Pacific Northwest,0,East Coast,5-8,>8,,March,1,1,1-1,C,1,0.019230769,0.909090909,1,0
HD-3638-40711,HD,8,8,CA,5,A,06/17/11,06/21/11,10,11,11/03/09,11/03/09,8,0,11/06/09,Northern California,0,East Coast,5-8,5-8,,June,2,5-8,2-5-8,H,0,0.041152263,0.909090909,1,0
SG-3353-40587,SG,10,11,NY,7,A,02/13/11,02/19/11,20,22,11/12/09,09/12/10,3,2,11/07/09,Other,0,West,>8,>8,,February,>8,>8,>8->8,S,1,0.012404017,0.913043478,2,1
SG-3918-40587,SG,11,12,NY,7,A,02/13/11,02/19/11,20,22,11/14/09,09/14/10,1,1,11/07/09,Other,0,West,>8,>8,>8->8,February,>8,>8,>8->8,S,1,0.012404017,0.913043478,2,1
HD-128-40672,HD,8,8,MI,5,T,05/09/11,05/13/11,139,148,02/01/10,08/09/10,4,9,11/12/09,Other,0,East Coast,5-8,5-8,,May,5-8,5-8,5-8-5-8,H,1,0.224108659,0.936170213,9,1
HD-1469-40672,HD,9,9,MI,5,T,05/09/11,05/13/11,125,134,01/24/10,08/01/10,2,11,11/12/09,Other,0,East Coast,5-8,5-8,,May,5-8,5-8,5-8-5-8,H,1,0.224108659,0.936170213,9,1
HD-3093-40692,HD,7,12,CO,5,A,05/29/11,06/02/11,15,16,03/16/10,03/16/10,0,2,11/13/09,Other,0,East Coast,5-8,>8,,June,<5,5-8,<5-5-8,H,0,0.08,0.941176471,1,0
HD-4028-40692,HD,6,11,CO,5,A,05/29/11,06/02/11,15,16,03/06/10,03/06/10,1,2,11/13/09,Other,0,East Coast,5-8,>8,,June,<5,<5,<5-<5,H,1,0.08,0.941176471,1,0
HD-2722-40610,HD,9,9,MO,7,T,03/08/11,03/14/11,35,39,03/31/10,08/18/10,1,5,11/14/09,Other,0,East Coast,5-8,5-8,,March,5-8,5-8,5-8-5-8,H,1,0.048684211,0.902439024,4,1
HD-3829-40610,HD,9,9,MO,7,T,03/08/11,03/14/11,37,41,03/27/10,08/14/10,0,4,11/14/09,Other,0,East Coast,5-8,5-8,5-8-5-8,March,5-8,5-8,5-8-5-8,H,1,0.048684211,0.902439024,4,1
HD-1228-40609,HD,9,9,AZ,5,A,03/07/11,03/11/11,17,20,03/19/10,08/26/10,26,3,11/21/09,Other,0,East Coast,5-8,5-8,,March,2,5-8,2-5-8,H,0,0.031578947,0.857142857,3,0
HD-1641-40609,HD,7,7,AZ,5,A,03/07/11,03/11/11,19,22,03/13/10,08/20/10,17,2,11/21/09,Other,0,East Coast,5-8,5-8,5-8-5-8,March,2,2,2-2,H,1,0.031578947,0.857142857,3,0
HD-2389-40698,HD,6,7,WI,4,A,06/04/11,06/07/11,40,47,01/28/10,08/21/10,0,7,12/01/09,Other,0,East Coast,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,H,1,0.047789725,0.85106383,7,0
HD-518-40627,HD,12,13,NV,6,A,03/25/11,03/30/11,30,33,12/12/09,08/16/10,7,4,12/02/09,Other,0,East Coast,>8,>8,,March,>8,>8,>8->8,H,1,0.033149171,0.909090909,3,1
HD-3613-40627,HD,11,12,NV,6,A,03/25/11,03/30/11,28,31,12/17/09,08/21/10,4,2,12/02/09,Other,0,East Coast,>8,>8,,March,>8,>8,>8->8,H,1,0.033149171,0.909090909,3,1
HD-289-40697,HD,6,7,IL,5,A,06/03/11,06/07/11,36,39,02/13/10,08/20/10,5,2,12/04/09,Other,0,East Coast,5-8,5-8,,June,1,1,1-1,H,1,0.190954774,0.926829268,3,0
HD-2863-40697,HD,6,7,IL,5,A,06/03/11,06/07/11,40,43,02/14/10,08/21/10,4,4,12/04/09,Other,0,East Coast,5-8,5-8,,June,1,1,1-1,H,1,0.190954774,0.926829268,3,0
HD-919-40627,HD,8,9,WA,4,A,03/25/11,03/28/11,7,8,01/20/10,08/28/10,2,0,12/05/09,Pacific Northwest,0,East Coast,5-8,5-8,,March,5-8,5-8,5-8-5-8,H,1,0.011725293,0.875,1,1
HD-1860-40632,HD,7,9,WA,6,A,03/30/11,04/04/11,15,16,12/06/09,08/24/10,3,2,12/05/09,Pacific Northwest,0,East Coast,5-8,5-8,5-8-5-8,April,1,1,1-1,H,1,0.026365348,0.933333333,1,0
HD-2202-40632,HD,6,8,WA,6,A,03/30/11,04/04/11,14,15,12/05/09,08/23/10,2,2,12/05/09,Pacific Northwest,0,East Coast,5-8,5-8,,April,1,5-8,1-5-8,H,0,0.026365348,0.933333333,1,0
HC-174-40702,HC,6,8,CA,5,A,06/08/11,06/12/11,19,22,12/11/09,03/07/10,0,2,12/08/09,Northern California,0,East Coast,5-8,5-8,,June,2,5-8,2-5-8,H,0,0.03257329,0.869565217,3,0
HC-2022-40702,HC,6,8,CA,5,A,06/08/11,06/12/11,20,23,12/12/09,03/08/10,0,3,12/08/09,Northern California,0,East Coast,5-8,5-8,5-8-5-8,June,2,2,2-2,H,1,0.03257329,0.869565217,3,0
HD-1883-40698,HD,6,6,TX,5,A,06/04/11,06/08/11,37,44,12/11/09,08/15/10,6,8,12/10/09,Dallas,0,East Coast,5-8,5-8,5-8-5-8,June,<5,<5,<5-<5,H,1,0.05,0.833333333,7,1
HD-4143-40698,HD,5,5,TX,5,A,06/04/11,06/08/11,33,40,12/12/09,08/16/10,6,9,12/10/09,Dallas,0,East Coast,5-8,5-8,,June,<5,5-8,<5-5-8,H,0,0.05,0.833333333,7,1
HD-2195-40633,HD,5,9,WA,6,A,03/31/11,04/05/11,13,16,01/30/10,09/03/10,6,4,12/17/09,Pacific Northwest,0,East Coast,<5,>8,<5->8,April,2,2,2-2,H,1,0.028571429,0.823529412,3,0
HD-4023-40633,HD,4,8,WA,6,A,03/31/11,04/05/11,14,17,01/31/10,09/04/10,5,4,12/17/09,Pacific Northwest,0,East Coast,<5,>8,,April,2,2,2-2,H,1,0.028571429,0.823529412,3,0
HD-183-40620,HD,6,7,CA,5,A,03/18/11,03/22/11,26,30,03/17/10,08/17/10,3,4,01/07/10,Northern California,0,East Coast,5-8,5-8,,March,2,<5,2-<5,H,0,0.3375,0.870967742,4,0
HD-1512-40620,HD,6,7,CA,5,A,03/18/11,03/22/11,28,32,03/21/10,08/21/10,3,5,01/07/10,Northern California,0,East Coast,5-8,5-8,,March,2,2,2-2,H,1,0.3375,0.870967742,4,0
HN-444-40711,HN,12,12,NV,5,A,06/17/11,06/21/11,2,2,02/09/10,09/05/10,4,0,01/09/10,Other,0,East Coast,>8,>8,>8->8,June,5-8,5-8,5-8-5-8,H,1,0.002597403,1,0,0
HN-510-40711,HN,12,12,NV,5,A,06/17/11,06/21/11,2,2,02/06/10,09/02/10,5,0,01/09/10,Other,0,East Coast,>8,>8,,June,5-8,5-8,5-8-5-8,H,1,0.002597403,1,0,0
HD-956-40633,HD,6,8,WA,6,A,03/31/11,04/05/11,26,29,01/30/10,09/07/10,1,3,01/09/10,Pacific Northwest,0,East Coast,5-8,5-8,,April,2,2,2-2,H,1,0.045454545,0.892857143,3,0
HD-1528-40629,HD,8,9,OK,4,A,03/27/11,03/30/11,34,37,02/14/10,08/22/10,17,2,01/09/10,Other,0,East Coast,5-8,5-8,,March,1,5-8,1-5-8,H,0,0.105882353,0.923076923,3,0
HD-3494-40629,HD,8,9,OK,4,A,03/27/11,03/30/11,38,41,02/12/10,08/20/10,17,4,01/09/10,Other,0,East Coast,5-8,5-8,,March,1,5-8,1-5-8,H,0,0.105882353,0.923076923,3,0
HD-4190-40633,HD,5,7,WA,6,A,03/31/11,04/05/11,26,29,01/24/10,09/01/10,2,2,01/09/10,Pacific Northwest,0,East Coast,5-8,5-8,,April,2,2,2-2,H,1,0.045454545,0.892857143,3,0
HD-73-40710,HD,8,9,IA,6,T,06/16/11,06/21/11,45,49,02/08/10,08/24/10,4,5,01/12/10,Other,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.236842105,0.918367347,4,0
HD-4144-40710,HD,7,8,IA,6,T,06/16/11,06/21/11,43,47,02/10/10,08/26/10,4,5,01/12/10,Other,0,East Coast,5-8,5-8,,June,5-8,5-8,5-8-5-8,H,1,0.236842105,0.918367347,4,0
HC-772-40692,HC,7,9,KS,5,A,05/29/11,06/02/11,45,48,03/09/10,08/06/10,4,4,01/14/10,Other,0,East Coast,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,H,1,0.123287671,0.9375,3,0
HC-991-40692,HC,7,9,KS,5,A,05/29/11,06/02/11,47,50,03/05/10,08/02/10,2,4,01/14/10,Other,0,East Coast,5-8,5-8,5-8-5-8,June,5-8,5-8,5-8-5-8,H,1,0.123287671,0.9375,3,0
HD-2400-40610,HD,5,7,TX,6,A,03/08/11,03/13/11,21,23,02/03/10,08/05/10,2,2,01/14/10,Houston,0,East Coast,5-8,5-8,,March,1,1,1-1,H,1,0.114130435,0.913043478,2,0
HC-2670-40610,HC,6,7,MN,5,A,03/08/11,03/12/11,38,40,02/15/10,08/06/10,1,2,01/14/10,Other,0,East Coast,5-8,5-8,,March,2,5-8,2-5-8,H,0,0.057142857,0.952380952,2,0
HD-2802-40668,HD,5,,CO,6,A,05/05/11,05/10/11,60,65,03/21/10,03/21/10,7,6,01/14/10,Other,0,East Coast,5-8,Undefined,5-8-Undefined,May,2,2,2-2,H,1,0.101785714,0.919354839,5,0
HD-3557-40602,HD,7,8,MN,4,A,02/28/11,03/03/11,22,23,01/20/10,01/20/10,3,2,01/14/10,Other,0,East Coast,5-8,5-8,5-8-5-8,March,1,1,1-1,H,1,0.105,0.954545455,1,0
HD-3852-40610,HD,5,7,TX,6,A,03/08/11,03/13/11,21,23,02/04/10,08/06/10,2,1,01/14/10,Houston,0,East Coast,5-8,5-8,5-8-5-8,March,1,1,1-1,H,1,0.114130435,0.913043478,2,0
HD-3964-40668,HD,7,,CO,6,A,05/05/11,05/10/11,57,62,03/27/10,03/27/10,7,6,01/14/10,Other,0,East Coast,5-8,Undefined,,May,2,5-8,2-5-8,H,0,0.101785714,0.919354839,5,0
HD-4041-40602,HD,6,7,MN,4,A,02/28/11,03/03/11,20,21,01/27/10,01/27/10,1,2,01/14/10,Other,0,East Coast,5-8,5-8,,March,1,5-8,1-5-8,H,0,0.105,0.954545455,1,0
HD-633-40677,HD,8,8,KY,5,T,05/14/11,05/18/11,113,122,01/26/10,08/03/10,18,8,01/16/10,Other,0,East Coast,5-8,5-8,,May,5-8,5-8,5-8-5-8,H,1,0.163141994,0.923076923,9,1
IK-743-40714,IK,9,12,VA,9,A,06/20/11,06/28/11,5,6,01/19/10,08/08/10,8,1,01/16/10,Other,0,International,>8,>8,,June,>8,>8,>8->8,I,1,0.0025,0.833333333,1,0
